id,text,label,source_url,language,split,id_str,is_error,predicted_label,x,y
2,己亥卜古貞有眾之十二月,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,2,False,,-0.09647978,0.14002845
4,貞不惟羌甲,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,4,False,,-0.04814267,0.15608624
6,翌癸丑侑祖辛四牛,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,6,False,,-0.052914184,0.124168135
10,隹（惟）□□□，月則呈（贏）絀（縮），不得丌（其）尚廾（常），春夏秋冬，又（有）□（亂）又（有）尚（常），日月星辰，亂羊（失）丌（其）行。呈（贏）絀（縮）羊（失）□，卉木亡（無）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,10,False,,0.05812781,0.07592434
11,尚（常），□□宎（妖）。天陀土（地）乍（作）羕（殃），天梪（將）乍（作）（傷），降于亓（其）方，山陵其發（廢），又（有）（渊）氒（？厥）日，是謂李。李歲□月，內（入）月,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,11,False,,0.09652428,0.08384705
13,相弋（代），乃止（持）以為歲。是隹（惟）四寺（時）。倀（長）曰青□木旱（榦），二曰朱□單，三曰□黃難，四曰□墨木旱（榦）。千又（有）百歲，日月,kpt,inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,13,False,,0.08416311,0.05254291
16,曰故（古）又（有）熊雨（雹）（戲），出自耑（顓）雨走（頊），凥（處）于颻□（澤）。氒田弓魚（漁）弓魚（漁），□□□女，夢夢墨墨，亡章弼弼，□每□□，風雨是於（遏）。乃娶,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,16,False,,0.0864156,0.0427321
17,宋公戌之言哥（歌）鐘。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,17,False,,0.03236661,0.09909526
18,卯田（留）為弔（叔）素虎禾（龢）鐘。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,18,False,,0.060008004,0.108889595
19,麋侯自乍（作）龢鐘用。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,19,False,,-0.004581646,0.07578733
20,中義乍（作）龢鐘，其萬年永寶。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,20,False,,-5.637875e-05,0.10404004
21,隹（唯）十又六年九月初吉庚寅，王才（在）周康剌宮，王乎（呼）士曶召克，王親令克遹涇東至于京（師），易（賜）克甸車、馬乘《文接00207》,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,21,False,,0.054526407,0.07138579
22,隹（唯）正月初吉丁亥，余（徐）王庚之弔心（淑）子沇兒睪廾（擇）其吉金，自乍（作）龢鐘，中（終）倝（翰）又（且）昜（揚）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,22,False,,0.06379549,0.08611914
24,五行︰身心（仁）型（形）於內胃（謂）之惪（德）之行，不型（形）於內胃（謂）之行。義型（形）於內胃（謂）之惪（德）之,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,24,False,,0.07343494,0.062304534
25,「〔瞻望弗及（及）〕，水眔（泣）涕女（如）雨」。能尾少（差）沱（池）亓（其）羽于（羽），肰（然）句（後）能至哀。君子言斤心（慎）亓（其）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,25,False,,0.07560532,0.03151754
26,不柬（簡），不柬（簡）不行，不行不義。不見袁（遠）不敬，不敬不嚴，不嚴不尊（尊），不尊（尊）不共（恭），不共（恭）亡豊（禮）。未尚（嘗）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,26,False,,0.08010427,0.06700185
29,〔王才（在）上，於昭〕于而〈天〉。」此之胃（謂）也。見而智（知）之，智也。智（知）而安之，身心（仁）也。安,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,29,False,,0.0652179,0.055909168
30,辯）肰（然）而正行之，植（直）也。植（直）而述（遂）之，（肆）也。（肆）而不畏彊力（強）語（禦），果也。不,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,30,False,,0.08458406,0.032100596
31,於道。又（有）大辠（罪）而大豆戈（誅）之，東〈柬（簡）〉也。又（有）少（小）辠（罪）而亦（赦）之，匿也。又（有）大辠（罪）而弗大,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,31,False,,0.07652569,0.017872518
32,癸未卜今日雨,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,32,False,,-0.09531528,0.13611533
36,子貞Ｔ１于父丁大牢丁丑　茲用,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,36,False,,-0.027226964,0.10171363
38,虢季乍（作）寶鼎，季氏其萬年子子孫孫永寶用（享）。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,38,False,,0.083350234,0.07532972
39,虢季乍（作）寶（簋），永寶用。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,39,False,,0.05770974,0.07293952
40,甲子允有來自東無于薛,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,40,False,,0.01712865,0.090426125
42,貞冊口祖乙,kpt,inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,42,False,,-0.06867726,0.12206795
43,貞小子有Ｇ０１６,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,43,False,,-0.11003262,0.10457175
45,貞惟父乙王,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,45,False,,-0.044761762,0.18297985
46,女（如）以行，必亡貝（亡）□又□。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,46,False,,0.047128804,0.11789478
49,田火（爨）月辛酉之日，（滕）敓之米邑人走仿登（鄧）成訟走仿郘出月以其敓泉汸與爾澤之古（故）。正義牢、坷。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,49,False,,0.07446386,0.056214187
50,上新都人蔡（蔡）首羌訟新都南陵大宰首、右司寇正、陳土（陳）得、正卜日又（史）赤，以其為其山兄（兄）蔡（蔡）暴（斷），不灋（法）。旦佗，力可為李。既訽爿酉須逾，幸丮女（執）。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,50,False,,0.056575704,0.05194127
51,《說文》：“一，惟初太始，道立於一，造分天地，化成萬物。弌，古文一。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,51,False,,0.09016096,0.0018956477
54,徐鉉曰：“今俗以此為艸木之艸，別作皁字為黑色之皁。案：櫟實可以染帛為黑色，故曰草。通用為草棧字。今俗書皁或从白从十，或从白从匕，皆無意義，無以下筆。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,54,False,,0.086798936,-0.03157365
55,《說文》：“甄，匋也。从瓦，垔聲。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,55,False,,0.06578269,0.033384245
56,《說文》：“，材緊也。从女，瞏聲。《春秋傳》曰：‘ 在疚。’”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,56,False,,0.08090432,0.012385451
57,《正字通．女部》：“嬛，本作𡣱。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,57,False,,0.015223313,0.03131007
58,《說文》：“眉，目上毛也。从目，象眉之形，上象頟理也。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,58,False,,0.08793162,0.0121536795
59,孔廣居疑疑：“（古文）下象目，上象毛，小篆即古文之小變，非象頟理也。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,59,False,,0.06966311,-0.06837635
60,《說文》：“安，靜也。从女在宀下。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,60,False,,0.054580554,0.055686217
61,段玉裁改“靜”作“竫”，注：“此與寍同意。”徐鍇繫傳：“安，止也。從女在宀中。”按：安居、安寧當為安本義。字或從厂。,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,61,False,,0.11347024,-0.003943809
62,羅振玉《增訂殷虛書契考釋》：“此字象人梯而升高，一足在地，一足已階而升。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,62,False,,0.03284045,-0.036171515
63,徐鉉等注：“屋與谷皆所以盛受也。”徐鍇繫傳作“从宀，谷聲。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,63,False,,0.09690117,0.022084404
64,容庚《金文編》：“年，从禾，从人，人亦聲。《說文》非。”于省吾《甲骨文字釋林》：“年乃就一切穀類全年的成熟而言。”按：甲骨文“年”字意為稔熟，金文始用作年歲字。,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,64,False,,0.104024045,-0.027183415
66,孔廣居疑疑：“象樓臺層疊形，象上屋，冂象下屋，口象上下層之戶牖也。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,66,False,,0.017550282,-0.033417445
67,《漢語大字典》按：“甲、金文十二支第一位之｀子’和第六位之｀巳’、｀子某’之｀子’分用不混。前者與《說文》籀文形近，像小兒頭上有髮及兩脛之形；後者與小篆形近，上像幼兒頭及兩臂，下像兩足並入襁褓中。或以為二者是一字異體。｀子’之本義當是｀幼兒’，象形。借為干支字。＂,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,67,False,,0.1297229,-0.10207668
68,《說文》：“旭，日旦出皃。从日，九聲。若勖。一曰明也。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,68,False,,0.09357377,0.0498082
69,邵瑛羣經正字：“今經典作昊，从日从天”，“《九經字樣》以為隷省，其實乃俗儒不識夰字，筆法相近，變為天也。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,69,False,,0.074589334,-0.020373879
70,《說文》：“王，天下所歸往也。董仲舒曰：‘古之造文者，三畫而連其中謂之王。三者，天、地、人也；而參通之者，王也。’孔子曰：‘一貫三為王。’，古文王。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,70,False,,0.11029247,-0.028183429
73,《說文》：“浩，澆也。从水，告聲。《虞書》曰：‘洪水浩浩。’”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,73,False,,0.07403326,0.026878508
75,《說文》：“方，併船也。象兩舟省緫頭形。汸，方或从水。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,75,False,,0.1217499,0.015265251
76,《說文》：“填，塞也。从土，真聲。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,76,False,,0.034210447,0.014358873
77,段玉裁注：“《周禮．籩人記》、《曲禮．內則》、《左傳》、《毛詩》字皆作榛。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,77,False,,0.050639108,-0.027937079
78,《說文》：“，亡也，从亡無聲；无，奇字无，通於元者，王育說：‘天屈西北為无。’”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,78,False,,0.08944134,0.003922888
79,林義光《文源》：“按：有非‘不宜有’之義。有，持有也。古从又持肉，不从月。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,79,False,,0.04578629,0.00535794
81,《說文》：“秦，伯益之後所封國，地宜禾。从禾，舂省。一曰秦，禾名。，籀文秦从秝。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,81,False,,0.10225791,0.010653989
82,徐鍇繫傳：“舂禾為秦，會意字也。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,82,False,,0.102652766,0.046943583
84,《說文》：“楚，叢木。一名荊也。从林，疋聲。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,84,False,,0.08212492,0.01297602
85,《說文》：“周，密也。从用、口。，古文周字从古文及。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,85,False,,0.09196052,-0.014145651
86,《漢語大字典》按：“古文字三用三橫畫表示，是原始記數符號。＂,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,86,False,,0.065714404,-0.06888287
87,《說文》：“宇，屋邊也。从宀，于聲。《易》曰：‘上棟下宇’。，籀文宇从禹。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,87,False,,0.104539074,0.017885774
89,徐鍇繫傳：“此本象鳥棲也。”商承祚《殷墟文字類編》：“今諸文正象鳥巢狀。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,89,False,,0.061906435,-0.050833274
90,《漢語大字典》按：“男，從力、田，力字即像耒形。＂,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,90,False,,0.11884458,0.003425708
91,李孝定《甲骨文字集釋》：“栔文从目，外象面部匡廓之形，蓋面部五官中最足引人注意的者莫過於目，故面字从之也。篆文从𦣻，則从口無義可說，乃从目之譌。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,91,False,,0.11301409,-0.073834404
93,徐灝注箋：“象指、掌之形。小篆中畫微曲，書勢取茂美也。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,93,False,,0.082595706,-0.026309406
94,徐鍇繫傳：“囗象股脛之形。”楊樹達《積微居小學述林》：“股、脛、蹠、跟全部為足，足从囗者，象股脛周圍之形。人體股脛在上，跟蹠在下，依人所視，象股脛之囗當在上層，象蹠跟之止當在下層。然文字之象形，但有平面，無立體，故止能以囗上止下表之也。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,94,False,,0.105991185,-0.07554982
95,《漢語大字典》按：“王筠句讀以為｀从𦫳’二字，乃後人增補，云：｀先有羊而後有𦫳，羊字不可從𦫳也。’”容庚《金文編》卷四：“羊，象羊首形。＂,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,95,False,,0.11981606,-0.033532865
96,徐灝注箋：“古文、鐘鼎文象上下弦之形，日象圜形，故月象其闕也。小篆相承取字形茂美耳。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,96,False,,0.10299082,-0.038170837
97,《說文》：“靁，陰陽薄動，靁雨生物者也，从雨，畾象回轉形。，古文靁。，古文靁。，籀文，靁間有回，回，靁聲也。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,97,False,,0.118500754,-0.013358923
98,桂馥義證：“就高也者，《孟子》：‘為高必因邱陵。’《九經字樣》：‘京，人所居高丘也。’就字从之。馥按：此言人就高以居也。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,98,False,,0.05665671,-0.044723514
100,林義光《文源》：“八、分双聲對轉，實本同字。”高鴻縉《中國字例》：“八之本意為分，取假象分背之形，指事字……後世借用為數目八九之八，久而不返，乃如刀為意符作分。”,kde,https://xiaoxue.iis.sinica.edu.tw/yanbian?kaiOrder=1,chinese,train,100,False,,0.08657759,-0.09293699
104,金文中賞賜鉞，見於師克盨（《集成》04467、04468）和虢季子白盤（《集成》10173），師克是掌管左右虎臣的軍事長官，虢季子白參與了對獫狁的作戰並大獲勝利。,ksd,https://www.fdgwz.org.cn/Web/Show/13353,chinese,train,104,False,,0.041953687,0.007505684
105,“屎”，李家浩先生曾對相關之字做過考釋[56]，即金文中“”、“”等字的異體。金文中“”、“”、“”、“”常表示訓“繼”之“纘/纂”[57]，鎛銘“屎”亦讀爲訓“繼”之“纘/纂”。,ksd,https://www.fdgwz.org.cn/Web/Show/13353,chinese,train,105,False,,0.15023065,-0.06720747
106,焂戒鼎（《銘圖》02279）“”作“”，人形下從兩小點。它們與一般的“”字人形、隹形間作一個小點或小竪筆有別，應看作“”的變體。,ksd,https://www.fdgwz.org.cn/Web/Show/13353,chinese,train,106,False,,0.11106425,-0.07466262
107,近年來，山西省黎城縣西關村周代墓葬中有出土了多件楷（黎）國的銅器，爲春秋時黎國的研究提供了很好的資料。,ksd,https://www.fdgwz.org.cn/Web/Show/13353,chinese,train,107,False,,-0.05628679,-0.111090176
108,學者們對獫狁的族屬、方位以及它所涉戰爭的時間、地點等問題的研究由來已久,ksd,https://www.fdgwz.org.cn/Web/Show/13353,chinese,train,108,False,,-0.06927744,-0.081396654
109,岹山，山名，當是此次與獫狁作戰的地點，待考,ksd,https://www.fdgwz.org.cn/Web/Show/13353,chinese,train,109,False,,-0.057421558,0.059715506
110,陽，指山南之陽，與前文用作“曩”的“陽”不同。,ksd,https://www.fdgwz.org.cn/Web/Show/13353,chinese,train,110,False,,0.13159682,0.054308735
112,後來看到郭永秉先生主張“倝”字應讀為“旱”[4]，聲韻密合，長久以來我都相信郭先生的意見。,ksd,https://www.fdgwz.org.cn/Web/Show/13350,chinese,train,112,False,,0.06162644,-0.027455889
113,蘇建洲先生已經指出，整理者所隸定的“”，應釋為“倝”，並將“倝”讀為“爰”。[2],ksd,https://www.fdgwz.org.cn/Web/Show/13350,chinese,train,113,False,,0.05280357,-0.070123
114,復旦讀書會認為此字似是“葉”之訛變。,ksd,https://www.fdgwz.org.cn/Web/Show/13350,chinese,train,114,False,,0.032717407,-0.03889116
115,綜上所述，我們將《李頌》重新釋寫於下：,ksd,https://www.fdgwz.org.cn/Web/Show/13350,chinese,train,115,False,,-0.030685015,0.0008502349
118,案《李頌》的“喿”作：，與常見的楚文字樹葉之“葉”字作 ，並不相近，只有侯馬盟書中委質類（編號185·7）名“枼”的人名作：,ksd,https://www.fdgwz.org.cn/Web/Show/13350,chinese,train,118,False,,0.080916904,-0.015390802
121,将其解释为熟睡、睡着之义，文从字顺。其下文的“梦之”也可以证明“卧出”的具体含义，且“梦之”可与“与人战斲（斗）”句读在一起，整句即：“卧出，梦之与人战斲（斗）”。,ksd,https://www.fdgwz.org.cn/Web/Show/13369,chinese,train,121,False,,0.13946481,-0.023183607
122,但是李豪先生将其与佛家的解释联系起来，似未得“卧出”之“出”的语义由来和真正含义。,ksd,https://www.fdgwz.org.cn/Web/Show/13369,chinese,train,122,False,,0.08804075,0.0007833683
123,如果断读为“安等卧，出”就会让人理解为安等人已经卧躺睡觉，然后又突然出去了，为何又出去？,ksd,https://www.fdgwz.org.cn/Web/Show/13369,chinese,train,123,False,,-0.006516648,0.015051565
125,由此可见整理者的句读及理解有误。“卧”“出”应该被句读在一起，表示熟睡之义。,ksd,https://www.fdgwz.org.cn/Web/Show/13369,chinese,train,125,False,,0.043418795,-0.01176077
