id,text,label,source_url,language
1,庚申卜古貞勿它于南庚羊用,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
2,己亥卜古貞有眾之十二月,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
3,貞Ｇ００７以芻不其五百惟六,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
4,貞不惟羌甲,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
5,貞侑于高妣己,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
6,翌癸丑侑祖辛四牛,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
7,貞翌辛酉侑于,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
8,曰取（陬）。云則至，不可以□殺。壬子、丙子凶，乍（作）□北征，行止（率）又（有）咎，武于□其育。取（陬）于下。曰女（如）。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
9,可以折，敘（除）去（去）不義于四□……曰：姑（辜），利帚戈（侵）伐，可以攻城，可以聚眾，會者（諸）侯，型（刑）止首（首）事，,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
10,隹（惟）□□□，月則呈（贏）絀（縮），不得丌（其）尚廾（常），春夏秋冬，又（有）□（亂）又（有）尚（常），日月星辰，亂羊（失）丌（其）行。呈（贏）絀（縮）羊（失）□，卉木亡（無）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
11,尚（常），□□宎（妖）。天陀土（地）乍（作）羕（殃），天梪（將）乍（作）（傷），降于亓（其）方，山陵其發（廢），又（有）（渊）氒（？厥）日，是謂李。李歲□月，內（入）月,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
12,尚（常），□□上宎（妖），三寺（時）是行。惟惪（德）匿止（持）歲，三寺（時）□女（繼）之以素降。是月以婁，厂孖日（擬）為之□，隹（惟）□又（有）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
13,相弋（代），乃止（持）以為歲。是隹（惟）四寺（時）。倀（長）曰青□木旱（榦），二曰朱□單，三曰□黃難，四曰□墨木旱（榦）。千又（有）百歲，日月,kpt,inscription.asdc.sinica.edu.tw/c_index.php,chinese
14,炎帝乃命祝融，以四神降，奠三天□，思（使）孚奠四亟（極），曰非九天則大血夭，則母（毋）敢睿天霝（靈）。帝夋（俊）乃,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
15,為日月之行。共攻（工）刳（跨）步，十日四時，□□神則閏，四□母（毋）思（使）。□神風雨，晨（辰）禕（緯）亂乍（作）。乃逆日月，以（轉）相,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
16,曰故（古）又（有）熊雨（雹）（戲），出自耑（顓）雨走（頊），凥（處）于颻□（澤）。氒田弓魚（漁）弓魚（漁），□□□女，夢夢墨墨，亡章弼弼，□每□□，風雨是於（遏）。乃娶,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
17,宋公戌之言哥（歌）鐘。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
18,卯田（留）為弔（叔）素虎禾（龢）鐘。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
19,麋侯自乍（作）龢鐘用。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
20,中義乍（作）龢鐘，其萬年永寶。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
21,隹（唯）十又六年九月初吉庚寅，王才（在）周康剌宮，王乎（呼）士曶召克，王親令克遹涇東至于京（師），易（賜）克甸車、馬乘《文接00207》,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
22,隹（唯）正月初吉丁亥，余（徐）王庚之弔心（淑）子沇兒睪廾（擇）其吉金，自乍（作）龢鐘，中（終）倝（翰）又（且）昜（揚）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
23,克不敢彖（弛），尃（溥）奠王令。克敢對揚天子休，用乍（作）舟（朕）皇且（祖）考白（伯）寶（，林）鐘，用匄屯（純）叚（嘏）永令（命），克其萬年子子孫孫永寶。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
24,五行︰身心（仁）型（形）於內胃（謂）之惪（德）之行，不型（形）於內胃（謂）之行。義型（形）於內胃（謂）之惪（德）之,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
25,「〔瞻望弗及（及）〕，水眔（泣）涕女（如）雨」。能尾少（差）沱（池）亓（其）羽于（羽），肰（然）句（後）能至哀。君子言斤心（慎）亓（其）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
26,不柬（簡），不柬（簡）不行，不行不義。不見袁（遠）不敬，不敬不嚴，不嚴不尊（尊），不尊（尊）不共（恭），不共（恭）亡豊（禮）。未尚（嘗）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
27,亓（其）君子道也，胃（謂）之不聖。見臤（賢）人而不智（知）亓（其）又（有）惪（德）也，胃（謂）之不智。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
28,〔行。智形〕於內胃（謂）之惪（德）之行，不型（形）於內胃（謂）之行。聖型（形）於內胃（謂）之惪（德）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
29,〔王才（在）上，於昭〕于而〈天〉。」此之胃（謂）也。見而智（知）之，智也。智（知）而安之，身心（仁）也。安,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
30,辯）肰（然）而正行之，植（直）也。植（直）而述（遂）之，（肆）也。（肆）而不畏彊力（強）語（禦），果也。不,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese
