id,text,label,source_url,language,split,id_str,is_error,predicted_label,x,y
2,己亥卜古貞有眾之十二月,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,2,False,,-11.271266,-9.053829
4,貞不惟羌甲,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,4,False,,-9.705734,-11.852902
6,翌癸丑侑祖辛四牛,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,6,False,,-12.289271,-11.851912
10,隹（惟）□□□，月則呈（贏）絀（縮），不得丌（其）尚廾（常），春夏秋冬，又（有）□（亂）又（有）尚（常），日月星辰，亂羊（失）丌（其）行。呈（贏）絀（縮）羊（失）□，卉木亡（無）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,10,False,,9.275752,-14.138638
11,尚（常），□□宎（妖）。天陀土（地）乍（作）羕（殃），天梪（將）乍（作）（傷），降于亓（其）方，山陵其發（廢），又（有）（渊）氒（？厥）日，是謂李。李歲□月，內（入）月,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,11,False,,9.581368,-12.826814
13,相弋（代），乃止（持）以為歲。是隹（惟）四寺（時）。倀（長）曰青□木旱（榦），二曰朱□單，三曰□黃難，四曰□墨木旱（榦）。千又（有）百歲，日月,kpt,inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,13,False,,10.710959,-13.722619
16,曰故（古）又（有）熊雨（雹）（戲），出自耑（顓）雨走（頊），凥（處）于颻□（澤）。氒田弓魚（漁）弓魚（漁），□□□女，夢夢墨墨，亡章弼弼，□每□□，風雨是於（遏）。乃娶,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,16,False,,5.9958534,-18.828726
17,宋公戌之言哥（歌）鐘。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,17,False,,-0.081704676,-9.861479
18,卯田（留）為弔（叔）素虎禾（龢）鐘。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,18,False,,-0.9616936,-10.40396
19,麋侯自乍（作）龢鐘用。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,19,False,,-1.3580253,-8.892475
20,中義乍（作）龢鐘，其萬年永寶。,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,20,False,,-1.1378711,-7.945322
21,隹（唯）十又六年九月初吉庚寅，王才（在）周康剌宮，王乎（呼）士曶召克，王親令克遹涇東至于京（師），易（賜）克甸車、馬乘《文接00207》,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,21,False,,4.572749,-13.450102
22,隹（唯）正月初吉丁亥，余（徐）王庚之弔心（淑）子沇兒睪廾（擇）其吉金，自乍（作）龢鐘，中（終）倝（翰）又（且）昜（揚）,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,22,False,,4.022798,-12.486476
24,五行︰身心（仁）型（形）於內胃（謂）之惪（德）之行，不型（形）於內胃（謂）之行。義型（形）於內胃（謂）之惪（德）之,kpt,https://inscription.asdc.sinica.edu.tw/c_index.php,chinese,train,24,False,,13.541107,-18.172754
